price,property_type,address,bed,bath,parking,link
360,Flat,"14/15 Wakefield Street, Kent Town SA 5067",2,1,1,https://www.rent.com.au/property/14-15-wakefield-st-kent-town-sa-5067-4416492
425,Unit,"4/69 Hughes Street, Mile End SA 5031",2,1,1,https://www.rent.com.au/property/4-69-hughes-st-mile-end-sa-5031-4994883
285,Apartment,"111/22 Wakefield, Kent Town SA 5067",1,1,0,https://www.rent.com.au/property/111-22-wakefield-na-kent-town-sa-5067-4994461
,Unit,"11/7-9 L'estrange Street, Glenside SA 5065",2,1,1,https://www.rent.com.au/property/11-7-9-lestrange-st-glenside-sa-5065-4992084
290,Apartment,"2/7 Wakefield Street, Kent Town SA 5067",1,1,0,https://www.rent.com.au/property/2-7-wakefield-st-kent-town-sa-5067-4990091
420,Unit,"1/14 Miller Street, Unley SA 5061",2,1,1,https://www.rent.com.au/property/1-14-miller-st-unley-sa-5061-4989287
350,Unit,"1/3 Croydon Road, Keswick SA 5035",2,1,1,https://www.rent.com.au/property/1-3-croydon-rd-keswick-sa-5035-4988424
440,Unit,"1/27A Joslin Street, Wayville SA 5034",3,1,2,https://www.rent.com.au/property/1-27a-joslin-st-wayville-sa-5034-4988220
490,Apartment,"55/220 Greenhill Road, Eastwood SA 5063",1,1,1,https://www.rent.com.au/property/55-220-greenhill-rd-eastwood-sa-5063-4988140
420,Unit,"10/311 Young Street, Wayville SA 5034",3,1,1,https://www.rent.com.au/property/10-311-young-st-wayville-sa-5034-3964961
420,Unit,"3/1A Grant Avenue, Rose Park SA 5067",1,1,1,https://www.rent.com.au/property/3-1a-grant-ave-rose-park-sa-5067-4535282
310,Unit,"3/100 Robsart Street, Parkside SA 5063",1,1,1,https://www.rent.com.au/property/3-100-robsart-st-parkside-sa-5063-4982699
575,Apartment,"26/100 Rose Terrace, Wayville SA 5034",3,2,2,https://www.rent.com.au/property/26-100-rose-tce-wayville-sa-5034-4980950
500,Apartment,"113/3 Banksia Street, Glenside SA 5065",1,1,1,https://www.rent.com.au/property/113-3-banksia-st-glenside-sa-5065-4976894
595,Apartment,"402/3 Banksia Street, Glenside SA 5065",2,2,1,https://www.rent.com.au/property/402-3-banksia-st-glenside-sa-5065-4976970
530,Apartment,"111/3 Banksia Street, Glenside SA 5065",2,1,1,https://www.rent.com.au/property/111-3-banksia-st-glenside-sa-5065-4554708
500,Apartment,"3/75 Wellington Square, North Adelaide SA 5006",2,1,1,https://www.rent.com.au/property/3-75-wellington-sq-north-adelaide-sa-5006-4966865
390,Unit,"11/15 Wakefield Street, Kent Town SA 5067",2,1,1,https://www.rent.com.au/property/11-15-wakefield-st-kent-town-sa-5067-4965749
,Apartment,"5B Avon Lane, Gilberton SA 5081",2,1,1,https://www.rent.com.au/property/5b-avon-lane-gilberton-sa-5081-4943870
650,Apartment,North Adelaide SA 5006,3,3,1,https://www.rent.com.au/property/north-adelaide-sa-5006-4340394
